,Quantidade em Estoque,Data da Venda
Filial 8,66,2023-03-15 18:58:06.794203
Filial 2,65,2022-11-21 18:58:06.794203
Filial 8,71,2023-03-23 18:58:06.794203
Filial 5,19,2022-11-03 18:58:06.794203
Filial 4,63,2023-01-01 18:58:06.794203
Filial 9,2,2022-09-19 18:58:06.794203
Filial 6,65,2023-02-06 18:58:06.794203
Filial 8,12,2022-11-08 18:58:06.794203
Filial 5,29,2023-03-15 18:58:06.794203
Filial 3,19,2023-04-26 18:58:06.794203
Filial 4,41,2023-08-03 18:58:06.794203
Filial 5,50,2023-06-30 18:58:06.794203
Filial 7,94,2023-06-24 18:58:06.794203
Filial 10,22,2023-03-04 18:58:06.794203
Filial 8,91,2023-02-23 18:58:06.794203
Filial 6,89,2023-08-07 18:58:06.794203
Filial 10,95,2023-08-25 18:58:06.794203
Filial 9,47,2023-08-21 18:58:06.794203
Filial 10,1,2023-07-01 18:58:06.794203
Filial 1,56,2023-07-29 18:58:06.794203
Filial 9,70,2023-01-06 18:58:06.794203
Filial 8,67,2022-11-06 18:58:06.794203
Filial 3,55,2023-01-05 18:58:06.794203
Filial 2,89,2023-01-12 18:58:06.794203
Filial 3,15,2023-05-31 18:58:06.794203
Filial 2,84,2023-06-17 18:58:06.794203
Filial 3,17,2022-10-12 18:58:06.794203
Filial 4,11,2023-06-06 18:58:06.794203
Filial 3,35,2023-07-01 18:58:06.794203
Filial 2,14,2022-10-24 18:58:06.794203
Filial 4,100,2023-07-12 18:58:06.794203
Filial 10,6,2023-06-02 18:58:06.794203
Filial 7,70,2023-02-19 18:58:06.794203
Filial 9,43,2022-10-18 18:58:06.794203
Filial 4,83,2023-04-03 18:58:06.794203
Filial 10,84,2023-02-26 18:58:06.794203
Filial 4,65,2023-03-10 18:58:06.794203
Filial 2,21,2023-06-27 18:58:06.794203
Filial 1,28,2023-05-16 18:58:06.794203
Filial 4,15,2023-07-02 18:58:06.794203
Filial 5,3,2023-05-18 18:58:06.794203
Filial 4,90,2023-06-08 18:58:06.794203
Filial 8,71,2023-03-05 18:58:06.794203
Filial 9,49,2023-03-08 18:58:06.794203
Filial 10,72,2023-08-27 18:58:06.794203
Filial 8,73,2023-04-19 18:58:06.794203
Filial 1,86,2022-10-05 18:58:06.794203
Filial 3,98,2023-06-07 18:58:06.794203
Filial 10,90,2023-03-08 18:58:06.794203
Filial 1,45,2023-06-14 18:58:06.794203
Filial 3,50,2023-03-01 18:58:06.794203
Filial 5,87,2023-05-09 18:58:06.794203
Filial 4,1,2023-06-12 18:58:06.794203
Filial 4,2,2023-05-05 18:58:06.794203
Filial 3,33,2022-09-05 18:58:06.794203
Filial 2,77,2023-01-13 18:58:06.794203
Filial 8,39,2022-09-17 18:58:06.794203
Filial 8,17,2023-05-07 18:58:06.794203
Filial 6,98,2023-02-13 18:58:06.794203
Filial 2,87,2023-05-15 18:58:06.794203
Filial 2,70,2023-05-14 18:58:06.794203
Filial 1,3,2023-06-27 18:58:06.794203
Filial 7,90,2023-03-26 18:58:06.794203
Filial 3,5,2023-03-06 18:58:06.794203
Filial 5,15,2022-10-07 18:58:06.794203
Filial 4,17,2023-01-23 18:58:06.794203
Filial 2,15,2023-09-01 18:58:06.794203
Filial 10,54,2023-02-12 18:58:06.794203
Filial 4,4,2022-11-07 18:58:06.794203
Filial 4,29,2022-10-26 18:58:06.794203
Filial 6,9,2022-12-11 18:58:06.794203
Filial 7,82,2023-07-18 18:58:06.794203
Filial 3,13,2023-06-13 18:58:06.794203
Filial 8,59,2022-09-07 18:58:06.794203
Filial 2,36,2022-10-03 18:58:06.794203
Filial 5,23,2023-05-24 18:58:06.794203
Filial 3,99,2022-10-15 18:58:06.794203
Filial 10,29,2022-12-04 18:58:06.794203
Filial 3,86,2023-01-28 18:58:06.794203
Filial 6,66,2022-10-18 18:58:06.794203
Filial 10,36,2022-10-14 18:58:06.794203
Filial 6,24,2023-09-01 18:58:06.794203
Filial 7,67,2023-06-13 18:58:06.794203
Filial 2,6,2023-06-21 18:58:06.794203
Filial 4,92,2023-05-09 18:58:06.794203
Filial 10,53,2023-04-23 18:58:06.794203
Filial 1,68,2023-02-04 18:58:06.794203
Filial 3,57,2023-05-23 18:58:06.794203
Filial 7,75,2023-03-28 18:58:06.794203
Filial 9,15,2023-01-17 18:58:06.794203
Filial 7,71,2022-11-19 18:58:06.794203
Filial 6,75,2023-05-14 18:58:06.794203
Filial 4,29,2023-04-16 18:58:06.794203
Filial 4,70,2023-01-23 18:58:06.794203
Filial 3,28,2023-07-02 18:58:06.794203
Filial 7,83,2022-09-07 18:58:06.794203
Filial 7,44,2022-11-23 18:58:06.794203
Filial 1,13,2023-02-22 18:58:06.794203
Filial 2,59,2023-01-25 18:58:06.794203
Filial 7,93,2023-07-02 18:58:06.794203
Filial 1,90,2023-04-25 18:58:06.794203
Filial 1,48,2023-03-28 18:58:06.794203
Filial 4,64,2022-11-08 18:58:06.794203
Filial 8,12,2023-05-31 18:58:06.794203
Filial 10,54,2022-12-05 18:58:06.794203
Filial 5,13,2022-10-19 18:58:06.794203
Filial 2,95,2023-03-13 18:58:06.794203
Filial 2,32,2022-09-28 18:58:06.794203
Filial 10,58,2022-09-23 18:58:06.794203
Filial 1,79,2022-10-07 18:58:06.794203
Filial 10,71,2022-09-08 18:58:06.794203
Filial 8,45,2023-02-23 18:58:06.794203
Filial 5,31,2023-08-08 18:58:06.794203
Filial 4,88,2022-10-28 18:58:06.794203
Filial 10,35,2022-10-29 18:58:06.794203
Filial 10,22,2023-07-23 18:58:06.794203
Filial 6,40,2023-04-13 18:58:06.794203
Filial 7,19,2022-09-18 18:58:06.794203
Filial 8,52,2023-08-19 18:58:06.794203
Filial 6,22,2023-08-01 18:58:06.794203
Filial 10,100,2023-03-29 18:58:06.794203
Filial 10,4,2022-11-20 18:58:06.794203
Filial 2,40,2023-05-30 18:58:06.794203
Filial 1,68,2023-01-05 18:58:06.794203
Filial 6,76,2022-12-13 18:58:06.794203
Filial 7,65,2022-09-19 18:58:06.794203
Filial 1,5,2022-12-04 18:58:06.794203
Filial 4,85,2023-06-11 18:58:06.794203
Filial 10,42,2023-08-26 18:58:06.794203
Filial 7,39,2022-11-08 18:58:06.794203
Filial 10,41,2022-12-10 18:58:06.794203
Filial 10,41,2022-09-09 18:58:06.794203
Filial 5,22,2023-01-02 18:58:06.794203
Filial 6,97,2023-08-24 18:58:06.794203
Filial 4,71,2022-10-08 18:58:06.794203
Filial 8,71,2022-10-26 18:58:06.794203
Filial 3,2,2023-07-08 18:58:06.794203
Filial 10,59,2023-04-23 18:58:06.794203
Filial 3,3,2023-01-15 18:58:06.794203
Filial 1,68,2022-12-07 18:58:06.794203
Filial 8,43,2022-12-06 18:58:06.794203
Filial 8,5,2022-11-07 18:58:06.794203
Filial 1,19,2022-10-06 18:58:06.794203
Filial 4,49,2022-10-27 18:58:06.794203
Filial 2,69,2023-07-31 18:58:06.794203
Filial 2,22,2022-10-15 18:58:06.794203
Filial 9,66,2023-05-22 18:58:06.794203
Filial 3,74,2023-01-24 18:58:06.794203
Filial 9,43,2023-04-11 18:58:06.794203
Filial 4,34,2022-09-20 18:58:06.794203
Filial 3,32,2023-03-19 18:58:06.794203
Filial 10,56,2023-06-26 18:58:06.794203
Filial 2,46,2023-06-11 18:58:06.794203
Filial 1,18,2022-12-05 18:58:06.794203
Filial 3,77,2022-09-28 18:58:06.794203
Filial 9,48,2023-03-23 18:58:06.794203
Filial 7,98,2023-03-22 18:58:06.794203
Filial 7,54,2023-04-09 18:58:06.794203
Filial 4,25,2023-05-17 18:58:06.794203
Filial 10,18,2022-09-10 18:58:06.794203
Filial 7,62,2023-08-04 18:58:06.794203
Filial 4,50,2022-09-15 18:58:06.794203
Filial 1,25,2023-04-20 18:58:06.794203
Filial 8,47,2022-09-20 18:58:06.794203
Filial 9,75,2022-09-13 18:58:06.794203
Filial 10,81,2022-11-20 18:58:06.794203
Filial 9,96,2022-12-24 18:58:06.794203
Filial 2,21,2023-04-30 18:58:06.794203
Filial 1,84,2023-08-17 18:58:06.794203
Filial 4,27,2023-06-07 18:58:06.794203
Filial 4,59,2023-02-07 18:58:06.794203
Filial 5,53,2023-05-05 18:58:06.794203
Filial 1,84,2023-09-03 18:58:06.794203
Filial 1,17,2023-07-17 18:58:06.794203
Filial 2,56,2023-02-22 18:58:06.794203
Filial 8,17,2022-12-19 18:58:06.794203
Filial 5,79,2023-02-03 18:58:06.794203
Filial 7,98,2023-05-04 18:58:06.794203
Filial 5,53,2023-05-15 18:58:06.794203
Filial 7,42,2023-06-06 18:58:06.794203
Filial 5,24,2022-10-14 18:58:06.794203
Filial 9,78,2023-06-15 18:58:06.794203
Filial 3,9,2022-10-01 18:58:06.794203
Filial 8,67,2022-10-21 18:58:06.794203
Filial 8,61,2023-01-22 18:58:06.794203
Filial 10,55,2023-03-29 18:58:06.794203
Filial 10,58,2023-01-03 18:58:06.794203
Filial 4,6,2022-12-03 18:58:06.794203
Filial 5,75,2023-02-14 18:58:06.794203
Filial 9,5,2023-02-10 18:58:06.794203
Filial 8,2,2023-02-07 18:58:06.794203
Filial 5,68,2022-12-04 18:58:06.794203
Filial 4,58,2023-03-20 18:58:06.794203
Filial 3,48,2022-09-19 18:58:06.794203
Filial 9,56,2022-10-19 18:58:06.794203
Filial 7,74,2023-01-29 18:58:06.794203
Filial 10,81,2023-05-28 18:58:06.794203
Filial 6,56,2023-04-01 18:58:06.794203
Filial 7,73,2022-10-05 18:58:06.794203
Filial 9,64,2023-06-26 18:58:06.794203
Filial 7,91,2023-01-31 18:58:06.794203
Filial 5,87,2022-11-08 18:58:06.794203
Filial 2,56,2023-03-14 18:58:06.794203
Filial 6,25,2023-07-12 18:58:06.794203
Filial 7,6,2022-12-05 18:58:06.794203
Filial 2,80,2022-11-02 18:58:06.794203
Filial 5,90,2023-04-29 18:58:06.794203
Filial 2,88,2022-09-07 18:58:06.794203
Filial 6,42,2023-07-15 18:58:06.794203
Filial 9,1,2023-09-02 18:58:06.794203
Filial 1,44,2022-10-19 18:58:06.794203
Filial 5,18,2022-10-30 18:58:06.794203
Filial 1,44,2023-03-08 18:58:06.794203
Filial 6,55,2022-12-07 18:58:06.794203
Filial 3,65,2022-12-18 18:58:06.794203
Filial 8,41,2023-03-07 18:58:06.794203
Filial 2,61,2023-06-05 18:58:06.794203
Filial 10,83,2023-08-19 18:58:06.794203
Filial 5,42,2022-11-23 18:58:06.794203
Filial 6,56,2023-03-18 18:58:06.794203
Filial 9,12,2022-09-12 18:58:06.794203
Filial 3,1,2022-09-18 18:58:06.794203
Filial 3,82,2023-03-18 18:58:06.794203
Filial 9,90,2023-04-27 18:58:06.794203
Filial 9,55,2023-05-10 18:58:06.794203
Filial 1,3,2023-01-05 18:58:06.794203
Filial 1,15,2022-10-25 18:58:06.794203
Filial 1,90,2022-09-12 18:58:06.794203
Filial 6,63,2023-01-31 18:58:06.794203
Filial 5,16,2022-12-18 18:58:06.794203
Filial 9,22,2023-05-08 18:58:06.794203
Filial 8,82,2022-12-06 18:58:06.794203
Filial 8,58,2023-07-01 18:58:06.794203
Filial 9,73,2022-11-07 18:58:06.794203
Filial 4,16,2022-11-07 18:58:06.794203
Filial 5,85,2023-02-11 18:58:06.794203
Filial 7,75,2022-12-11 18:58:06.794203
Filial 8,3,2022-10-09 18:58:06.794203
Filial 9,2,2023-03-03 18:58:06.794203
Filial 9,97,2023-02-10 18:58:06.794203
Filial 7,81,2023-08-22 18:58:06.794203
Filial 4,38,2023-07-06 18:58:06.794203
Filial 6,15,2023-06-17 18:58:06.794203
Filial 3,33,2022-09-21 18:58:06.794203
Filial 1,56,2023-05-18 18:58:06.794203
Filial 9,12,2022-09-23 18:58:06.794203
Filial 5,66,2023-02-26 18:58:06.794203
Filial 5,75,2023-08-16 18:58:06.794203
Filial 9,96,2023-02-09 18:58:06.794203
Filial 3,8,2022-10-30 18:58:06.794203
Filial 10,30,2023-02-12 18:58:06.794203
Filial 4,91,2023-02-26 18:58:06.794203
Filial 9,62,2022-09-26 18:58:06.794203
Filial 6,89,2023-01-05 18:58:06.794203
Filial 1,85,2023-04-04 18:58:06.794203
Filial 9,44,2023-01-12 18:58:06.794203
Filial 2,63,2022-12-06 18:58:06.794203
Filial 10,89,2023-04-27 18:58:06.794203
Filial 5,96,2023-08-22 18:58:06.794203
Filial 3,87,2022-09-07 18:58:06.794203
Filial 2,55,2023-05-28 18:58:06.794203
Filial 2,9,2023-08-12 18:58:06.794203
Filial 4,47,2023-04-15 18:58:06.794203
Filial 6,56,2023-06-11 18:58:06.794203
Filial 10,66,2023-01-08 18:58:06.794203
Filial 10,18,2023-09-05 18:58:06.794203
Filial 6,45,2023-01-10 18:58:06.794203
Filial 4,22,2023-02-14 18:58:06.794203
Filial 1,96,2022-10-22 18:58:06.794203
Filial 6,72,2023-06-12 18:58:06.794203
Filial 3,66,2023-03-24 18:58:06.794203
Filial 5,71,2023-03-16 18:58:06.794203
Filial 8,22,2023-08-12 18:58:06.794203
Filial 9,85,2023-03-11 18:58:06.794203
Filial 2,24,2022-11-15 18:58:06.794203
Filial 3,73,2023-07-19 18:58:06.794203
Filial 4,10,2022-09-23 18:58:06.794203
Filial 1,36,2023-01-19 18:58:06.794203
Filial 6,63,2022-10-13 18:58:06.794203
Filial 3,12,2022-09-08 18:58:06.794203
Filial 6,17,2022-10-03 18:58:06.794203
Filial 4,16,2023-07-02 18:58:06.794203
Filial 4,43,2023-04-12 18:58:06.794203
Filial 6,62,2022-10-03 18:58:06.794203
Filial 2,61,2023-02-27 18:58:06.794203
Filial 9,49,2022-11-02 18:58:06.794203
Filial 5,6,2023-02-01 18:58:06.794203
Filial 7,80,2023-01-26 18:58:06.794203
Filial 2,51,2023-05-24 18:58:06.794203
Filial 3,95,2022-10-19 18:58:06.794203
Filial 4,39,2022-10-05 18:58:06.794203
Filial 4,97,2023-06-12 18:58:06.794203
Filial 5,36,2023-03-24 18:58:06.794203
Filial 9,86,2023-01-30 18:58:06.794203
Filial 7,82,2022-09-19 18:58:06.794203
Filial 10,90,2022-11-03 18:58:06.794203
Filial 9,39,2023-05-12 18:58:06.794203
Filial 5,87,2023-01-23 18:58:06.794203
Filial 8,91,2023-05-03 18:58:06.794203
Filial 3,5,2022-10-18 18:58:06.794203
Filial 4,26,2022-11-06 18:58:06.794203
Filial 2,76,2022-11-30 18:58:06.794203
Filial 9,81,2023-05-13 18:58:06.794203
Filial 8,15,2023-04-03 18:58:06.794203
Filial 6,15,2023-07-10 18:58:06.794203
Filial 10,90,2023-05-29 18:58:06.794203
Filial 8,99,2023-05-16 18:58:06.794203
Filial 2,8,2023-05-25 18:58:06.794203
Filial 4,28,2023-04-05 18:58:06.794203
Filial 4,86,2022-10-31 18:58:06.794203
Filial 10,55,2023-02-13 18:58:06.794203
Filial 10,8,2022-12-31 18:58:06.794203
Filial 1,58,2023-05-14 18:58:06.794203
Filial 2,58,2023-02-22 18:58:06.794203
Filial 3,100,2023-08-24 18:58:06.794203
Filial 6,47,2022-12-02 18:58:06.794203
Filial 1,81,2023-03-10 18:58:06.794203
Filial 8,86,2023-04-29 18:58:06.794203
Filial 6,15,2022-09-13 18:58:06.794203
Filial 3,74,2023-01-19 18:58:06.794203
Filial 7,17,2022-11-14 18:58:06.794203
Filial 9,39,2023-02-26 18:58:06.794203
Filial 4,30,2022-11-01 18:58:06.794203
Filial 5,85,2022-12-29 18:58:06.794203
Filial 9,54,2022-12-06 18:58:06.794203
Filial 5,5,2022-09-29 18:58:06.794203
Filial 7,50,2023-04-03 18:58:06.794203
Filial 6,32,2023-07-28 18:58:06.794203
Filial 9,27,2022-11-10 18:58:06.794203
Filial 7,86,2023-07-18 18:58:06.794203
Filial 8,94,2023-05-04 18:58:06.794203
Filial 5,21,2022-11-26 18:58:06.794203
Filial 4,5,2022-09-10 18:58:06.794203
Filial 3,94,2023-08-08 18:58:06.794203
Filial 1,74,2023-02-15 18:58:06.794203
Filial 7,75,2022-10-04 18:58:06.794203
Filial 7,5,2023-05-08 18:58:06.794203
Filial 9,86,2022-11-30 18:58:06.794203
Filial 2,59,2023-01-04 18:58:06.794203
Filial 6,66,2022-12-18 18:58:06.794203
Filial 10,95,2022-12-07 18:58:06.794203
Filial 2,46,2023-06-02 18:58:06.794203
Filial 8,85,2022-09-08 18:58:06.794203
Filial 8,49,2023-05-09 18:58:06.794203
Filial 2,64,2023-01-15 18:58:06.794203
Filial 8,19,2022-12-08 18:58:06.794203
Filial 5,56,2023-01-04 18:58:06.794203
Filial 4,7,2023-01-13 18:58:06.794203
Filial 8,74,2022-12-08 18:58:06.794203
Filial 8,76,2022-09-24 18:58:06.794203
Filial 10,95,2023-03-02 18:58:06.794203
Filial 7,46,2023-02-24 18:58:06.794203
Filial 7,84,2022-10-24 18:58:06.794203
Filial 8,84,2022-11-02 18:58:06.794203
Filial 6,51,2023-05-27 18:58:06.794203
Filial 6,82,2023-02-14 18:58:06.794203
Filial 7,90,2023-02-28 18:58:06.794203
Filial 2,96,2023-03-30 18:58:06.794203
Filial 8,52,2023-02-16 18:58:06.794203
Filial 3,33,2023-02-20 18:58:06.794203
Filial 9,84,2022-11-01 18:58:06.794203
Filial 9,12,2023-04-10 18:58:06.794203
Filial 3,46,2022-12-16 18:58:06.794203
Filial 8,54,2022-11-23 18:58:06.794203
Filial 6,81,2023-07-13 18:58:06.794203
Filial 8,37,2022-10-20 18:58:06.794203
Filial 9,11,2023-08-01 18:58:06.794203
Filial 1,82,2023-04-20 18:58:06.794203
Filial 10,56,2023-04-19 18:58:06.794203
Filial 7,1,2023-01-29 18:58:06.794203
Filial 9,83,2023-07-11 18:58:06.794203
Filial 5,91,2022-09-22 18:58:06.794203
Filial 7,51,2023-02-03 18:58:06.794203
Filial 10,100,2023-08-22 18:58:06.794203
Filial 2,22,2022-10-31 18:58:06.794203
Filial 7,4,2022-10-24 18:58:06.794203
Filial 10,25,2022-09-27 18:58:06.794203
Filial 4,12,2023-05-03 18:58:06.794203
Filial 2,51,2023-07-03 18:58:06.794203
Filial 10,70,2022-12-09 18:58:06.794203
Filial 6,3,2023-07-01 18:58:06.794203
Filial 5,86,2023-06-12 18:58:06.794203
Filial 10,41,2023-09-04 18:58:06.794203
Filial 1,91,2022-11-24 18:58:06.794203
Filial 4,38,2022-09-06 18:58:06.794203
Filial 4,95,2023-08-04 18:58:06.794203
Filial 9,66,2023-04-09 18:58:06.794203
Filial 9,7,2022-09-13 18:58:06.794203
Filial 5,24,2022-12-04 18:58:06.794203
Filial 5,73,2023-02-07 18:58:06.794203
Filial 3,44,2023-05-01 18:58:06.794203
Filial 7,61,2023-04-18 18:58:06.794203
Filial 7,17,2022-12-19 18:58:06.794203
Filial 6,48,2023-06-14 18:58:06.794203
Filial 2,52,2023-08-28 18:58:06.794203
Filial 8,40,2023-05-28 18:58:06.794203
Filial 3,93,2023-07-24 18:58:06.794203
Filial 3,80,2023-03-22 18:58:06.794203
Filial 10,95,2023-05-20 18:58:06.794203
Filial 5,68,2022-10-06 18:58:06.794203
Filial 3,62,2023-03-12 18:58:06.794203
Filial 8,40,2023-05-25 18:58:06.794203
Filial 10,11,2022-11-27 18:58:06.794203
Filial 1,63,2023-01-07 18:58:06.794203
Filial 10,47,2023-02-28 18:58:06.794203
Filial 3,46,2023-06-25 18:58:06.794203
Filial 5,74,2023-02-19 18:58:06.794203
Filial 4,61,2023-08-28 18:58:06.794203
Filial 8,81,2023-03-02 18:58:06.794203
Filial 6,60,2023-06-03 18:58:06.794203
Filial 6,91,2023-08-17 18:58:06.794203
Filial 7,36,2023-05-20 18:58:06.794203
Filial 8,79,2023-07-14 18:58:06.794203
Filial 7,43,2023-04-10 18:58:06.794203
Filial 2,86,2023-04-17 18:58:06.794203
Filial 6,44,2023-03-15 18:58:06.794203
Filial 4,25,2023-03-28 18:58:06.794203
Filial 7,30,2023-03-31 18:58:06.794203
Filial 2,59,2023-06-23 18:58:06.794203
Filial 4,11,2022-10-03 18:58:06.794203
Filial 7,78,2023-04-28 18:58:06.794203
Filial 5,32,2023-02-11 18:58:06.794203
Filial 9,45,2022-10-25 18:58:06.794203
Filial 9,51,2023-07-24 18:58:06.794203
Filial 3,35,2022-12-28 18:58:06.794203
Filial 5,53,2023-03-01 18:58:06.794203
Filial 10,8,2023-04-06 18:58:06.794203
Filial 3,68,2023-07-31 18:58:06.794203
Filial 3,63,2023-05-13 18:58:06.794203
Filial 10,82,2022-09-20 18:58:06.794203
Filial 7,89,2023-08-23 18:58:06.794203
Filial 2,53,2022-11-16 18:58:06.794203
Filial 8,11,2023-01-06 18:58:06.794203
Filial 1,82,2023-04-04 18:58:06.794203
Filial 7,76,2023-07-19 18:58:06.794203
Filial 4,77,2023-06-08 18:58:06.794203
Filial 10,55,2023-03-10 18:58:06.794203
Filial 8,88,2022-09-16 18:58:06.794203
Filial 5,44,2023-01-08 18:58:06.794203
Filial 5,23,2023-07-03 18:58:06.794203
Filial 2,97,2023-04-15 18:58:06.794203
Filial 4,24,2023-07-27 18:58:06.794203
Filial 3,85,2023-07-10 18:58:06.794203
Filial 3,47,2022-12-13 18:58:06.794203
Filial 7,2,2023-06-30 18:58:06.794203
Filial 10,53,2022-11-23 18:58:06.794203
Filial 3,92,2023-01-04 18:58:06.794203
Filial 4,5,2022-12-10 18:58:06.794203
Filial 6,83,2023-04-29 18:58:06.794203
Filial 5,12,2023-03-07 18:58:06.794203
Filial 1,57,2023-05-20 18:58:06.794203
Filial 10,11,2023-08-27 18:58:06.794203
Filial 5,84,2023-04-11 18:58:06.794203
Filial 7,29,2023-07-23 18:58:06.794203
Filial 9,30,2023-01-29 18:58:06.794203
Filial 9,99,2023-06-24 18:58:06.794203
Filial 3,1,2023-08-17 18:58:06.794203
Filial 6,26,2023-01-17 18:58:06.794203
Filial 4,59,2023-04-01 18:58:06.794203
Filial 6,79,2023-04-25 18:58:06.794203
Filial 6,14,2022-11-08 18:58:06.794203
Filial 7,45,2022-11-11 18:58:06.794203
Filial 2,6,2023-04-13 18:58:06.794203
Filial 5,86,2023-08-16 18:58:06.794203
Filial 5,16,2023-08-03 18:58:06.794203
Filial 6,6,2023-07-10 18:58:06.794203
Filial 7,31,2022-11-01 18:58:06.794203
Filial 1,35,2023-06-19 18:58:06.794203
Filial 6,38,2023-04-13 18:58:06.794203
Filial 2,75,2023-08-13 18:58:06.794203
Filial 9,65,2023-07-14 18:58:06.794203
Filial 3,27,2023-06-09 18:58:06.794203
Filial 4,99,2023-01-01 18:58:06.794203
Filial 4,100,2023-03-08 18:58:06.794203
Filial 1,91,2022-11-10 18:58:06.794203
Filial 6,23,2023-05-09 18:58:06.794203
Filial 4,72,2023-02-24 18:58:06.794203
Filial 6,71,2022-09-13 18:58:06.794203
Filial 1,18,2023-03-25 18:58:06.794203
Filial 7,32,2023-04-13 18:58:06.794203
Filial 5,58,2023-02-27 18:58:06.794203
Filial 3,67,2023-01-14 18:58:06.794203
Filial 8,83,2023-07-26 18:58:06.794203
Filial 6,94,2023-01-04 18:58:06.794203
Filial 9,36,2023-07-07 18:58:06.794203
Filial 2,3,2023-06-10 18:58:06.794203
Filial 10,47,2022-10-17 18:58:06.794203
Filial 4,13,2023-05-08 18:58:06.794203
Filial 5,86,2022-10-20 18:58:06.794203
Filial 7,59,2022-10-16 18:58:06.794203
Filial 7,73,2022-09-09 18:58:06.794203
Filial 7,28,2023-07-29 18:58:06.794203
Filial 9,3,2022-11-12 18:58:06.794203
Filial 1,80,2022-10-14 18:58:06.794203
Filial 5,40,2022-10-19 18:58:06.794203
Filial 3,59,2022-12-08 18:58:06.794203
Filial 1,69,2023-02-04 18:58:06.794203
Filial 6,81,2023-05-24 18:58:06.794203
Filial 1,24,2023-02-14 18:58:06.794203
Filial 7,17,2022-12-29 18:58:06.794203
Filial 6,58,2023-01-30 18:58:06.794203
Filial 7,93,2023-04-19 18:58:06.794203
Filial 8,43,2023-06-18 18:58:06.794203
Filial 10,90,2023-03-12 18:58:06.794203
Filial 8,22,2022-12-30 18:58:06.794203
Filial 3,62,2023-06-18 18:58:06.794203
Filial 7,89,2022-09-13 18:58:06.794203
Filial 9,24,2023-07-01 18:58:06.794203
Filial 1,22,2023-08-07 18:58:06.794203
Filial 1,59,2023-08-25 18:58:06.794203
Filial 4,8,2023-03-30 18:58:06.794203
Filial 1,1,2023-02-08 18:58:06.794203
Filial 9,42,2022-11-26 18:58:06.794203
Filial 9,4,2023-08-23 18:58:06.794203
Filial 9,29,2023-05-21 18:58:06.794203
Filial 4,27,2023-04-19 18:58:06.794203
Filial 4,7,2023-07-21 18:58:06.794203
Filial 5,28,2022-12-05 18:58:06.794203
Filial 6,31,2023-07-08 18:58:06.794203
Filial 9,98,2023-01-31 18:58:06.794203
Filial 4,99,2023-06-21 18:58:06.794203
Filial 5,56,2022-11-07 18:58:06.794203
Filial 4,35,2023-03-26 18:58:06.794203
Filial 1,10,2023-05-07 18:58:06.794203
Filial 4,46,2023-01-03 18:58:06.794203
Filial 9,26,2022-09-19 18:58:06.794203
Filial 9,13,2023-01-02 18:58:06.794203
Filial 5,6,2023-04-12 18:58:06.794203
Filial 9,77,2023-02-26 18:58:06.794203
Filial 4,22,2023-04-10 18:58:06.794203
Filial 2,57,2023-02-25 18:58:06.794203
Filial 7,95,2022-11-15 18:58:06.794203
Filial 8,63,2022-11-06 18:58:06.794203
Filial 1,83,2023-08-22 18:58:06.794203
Filial 8,39,2023-01-06 18:58:06.794203
Filial 5,64,2023-08-25 18:58:06.794203
Filial 2,82,2023-08-25 18:58:06.794203
Filial 1,74,2023-04-08 18:58:06.794203
Filial 10,61,2022-12-30 18:58:06.794203
Filial 1,55,2023-04-27 18:58:06.794203
Filial 5,78,2022-12-28 18:58:06.794203
Filial 2,29,2023-05-08 18:58:06.794203
Filial 3,61,2023-01-13 18:58:06.794203
Filial 5,59,2022-11-10 18:58:06.794203
Filial 3,5,2023-06-11 18:58:06.794203
Filial 6,71,2023-06-01 18:58:06.794203
Filial 7,48,2022-12-23 18:58:06.794203
Filial 10,43,2023-07-06 18:58:06.794203
Filial 6,71,2023-08-20 18:58:06.794203
Filial 7,8,2022-09-12 18:58:06.794203
Filial 3,58,2022-09-26 18:58:06.794203
Filial 7,81,2022-12-25 18:58:06.794203
Filial 8,80,2023-03-10 18:58:06.794203
Filial 9,91,2023-07-31 18:58:06.794203
Filial 9,41,2023-04-04 18:58:06.794203
Filial 9,94,2023-06-04 18:58:06.794203
Filial 7,54,2023-01-17 18:58:06.794203
Filial 3,14,2023-06-20 18:58:06.794203
Filial 10,81,2023-03-06 18:58:06.794203
Filial 1,59,2023-02-09 18:58:06.794203
Filial 9,40,2023-04-27 18:58:06.794203
Filial 9,81,2023-05-01 18:58:06.794203
Filial 10,87,2023-06-28 18:58:06.794203
Filial 2,24,2022-10-27 18:58:06.794203
Filial 8,49,2023-06-08 18:58:06.794203
Filial 9,52,2022-09-13 18:58:06.794203
Filial 10,47,2023-09-05 18:58:06.794203
Filial 5,81,2023-07-02 18:58:06.794203
Filial 8,59,2023-01-23 18:58:06.794203
Filial 8,46,2023-08-23 18:58:06.794203
Filial 8,46,2023-02-23 18:58:06.794203
Filial 6,1,2022-10-31 18:58:06.794203
Filial 4,25,2023-07-18 18:58:06.794203
Filial 1,57,2023-04-19 18:58:06.794203
Filial 4,96,2023-01-19 18:58:06.794203
Filial 7,20,2023-06-28 18:58:06.794203
Filial 8,52,2023-05-31 18:58:06.794203
Filial 10,62,2023-07-29 18:58:06.794203
Filial 4,70,2023-06-11 18:58:06.794203
Filial 7,90,2023-03-16 18:58:06.794203
Filial 9,71,2023-03-25 18:58:06.794203
Filial 8,18,2023-04-09 18:58:06.794203
